
Generic Name,Company Name, Contact Info, Presentation, Type of Update,Date of Update, Availability Information, Related Information, Resolved Note, Reason for Shortage, Therapeutic Category, Status, Change Date, Date Discontinued, Initial Posting Date, Generic Name Note, Generic Name Link , Company Info Link, Availability Link, Related Info Link,   Resolved Note Link, Discontinued Note Link
"Collagenase Clostridium Histolyticum Ointment","Smith & Nephew, Inc.","800-876-1261","Santyl, Ointment, 250 [arb'U]/1 g (NDC 50484-010-30)","Revised","03/15/2024","Available","","","","Dermatology","Current","","","11/21/2022","","","","","","",""
"Collagenase Clostridium Histolyticum Ointment","Smith & Nephew, Inc.","800-876-1261","Santyl, Ointment, 250 [arb'U]/1 g (NDC 50484-010-90)","Revised","03/15/2024","Unavailable","Product is currently on back order with Smith and Nephew. Shortage duration is unknown at this time.","","Delay in shipping of the drug","Dermatology","Current","","","11/21/2022","","","","","","",""
"Conivaptan Hydrochloride Injection","Cumberland Pharmaceuticals Inc.","615-255-0068","Vaprisol Dextrose In Plastic Container, Injection, 20 mg/100 mL (NDC 66220-160-10)","Revised","04/03/2024","Unavailable","","","Delay in shipping of the drug","Cardiovascular","Current","","","03/14/2022","","","","","","",""
"Cromolyn Sodium Concentrate","Ailex Pharmaceuticals","Distributed by Ritedose (855) 806 3300 and Woodward (248) 308-1120 extension 2","Concentrate, 100 mg/5 mL (NDC 69784-200-96)","Revised","03/19/2024","Available","Distributed by Woodward Pharma Services LLC (248) 308-1120 Ext 2","","","Pulmonary/Allergy","Current","","","11/03/2023","","","","","","",""
"Cromolyn Sodium Concentrate","Ailex Pharmaceuticals","Distributed by Ritedose (855) 806 3300 and Woodward (248) 308-1120 extension 2","Concentrate, 100 mg/5 mL (NDC 76204-025-96)","Revised","03/19/2024","Available","Distributed by Ritedose Pharmaceuticals, LLC (855) 806 3300","","","Pulmonary/Allergy","Current","","","11/03/2023","","","","","","",""
"Cromolyn Sodium Concentrate","Rising Pharma Holdings, Inc.","(201) 961-9000 or contact@risingpharma.com","Concentrate, 100 mg/5 mL (NDC 16571-600-96)","Revised","03/29/2024","Limited Availability","Shipping limited quantities. Potential recovery anticipated  this summer.","","Delay in shipping of the drug","Pulmonary/Allergy","Current","","","11/03/2023","","","","","","",""
"Cromolyn Sodium Concentrate","Micro Labs LTD","(908) 484-7410","Concentrate, 100 mg/5 mL (NDC 42571-132-52)","Reverified","03/18/2024","Available. On allocation due to high demand","","","Demand increase for the drug","Pulmonary/Allergy","Current","","","11/03/2023","","","","","","",""
"Cromolyn Sodium Concentrate","Mylan Specialty, a Viatris Company","(800) 796-9526","Gastrocrom, Concentrate, 20 mg/1 mL (NDC 0037-0678-96)","Reverified","03/20/2024","Available","","","","Pulmonary/Allergy","Current","","","11/03/2023","","","","","","",""
"Cromolyn Sodium Oral Solution","Mylan Institutional, a Viatris Company","800-796-9526","Oral Solution, 100mg/5mL (NDC 51525-0470-9)","New","11/01/2023","","Gastrocrom 100mg/5mL Oral Concentrate 96s (NDC: 0037-0678-96) will remain available","","Discontinuation of the manufacture of the drug","Pulmonary/Allergy","To Be Discontinued","","11/01/2023","11/01/2023","","","","","","",""
"Cyclopentolate Hydrochloride Ophthalmic Solution","Bausch & Lomb Incorporated","800-553-5340","Pentolair, Ophthalmic Solution, 10 mg/1 mL (NDC 24208-735-06)","Reverified","04/01/2024","Unavailable","Resupply expected April 2024; Restock projected Q2 2024","","Shortage of an active ingredient","Ophthalmology","Current","","","11/09/2020","","","","","","",""
"Cyclopentolate Hydrochloride Ophthalmic Solution","Alcon","800-862-5266","Cyclogyl, Ophthalmic Solution, 5 mg/1 mL (NDC 0065-0395-15)","Reverified","02/07/2024","Available, We have adequate inventory to support demand","","","","Ophthalmology","Current","","","11/09/2020","","","","","","",""
"Cyclopentolate Hydrochloride Ophthalmic Solution","Alcon","800-862-5266","Cyclogyl, Ophthalmic Solution, 10 mg/1 mL (NDC 0065-0396-02)","Revised","02/07/2024","Unavailable, On backorder. Estimated recovery March 2024","","","Demand increase for the drug","Ophthalmology","Current","","","11/09/2020","","","","","","",""
"Cyclopentolate Hydrochloride Ophthalmic Solution","Alcon","800-862-5266","Cyclogyl, Ophthalmic Solution, 10 mg/1 mL (NDC 0065-0396-05)","Revised","02/07/2024","Unavailable, Backorder. Estimated recovery early April.","","","Demand increase for the drug","Ophthalmology","Current","","","11/09/2020","","","","","","",""
"Cyclopentolate Hydrochloride Ophthalmic Solution","Alcon","800-862-5266","Cyclogyl, Ophthalmic Solution, 20 mg/1 mL (NDC 0065-0397-02)","Revised","02/07/2024","Limited Availability","","","Demand increase for the drug","Ophthalmology","Current","","","11/09/2020","","","","","","",""
"Cyclopentolate Hydrochloride Ophthalmic Solution","Alcon","800-862-5266","Cyclogyl, Ophthalmic Solution, 20 mg/1 mL (NDC 0065-0397-05)","Reverified","02/07/2024","Available, We have adequate inventory to support demand","","","","Ophthalmology","Current","","","11/09/2020","","","","","","",""
"Cyclopentolate Hydrochloride Ophthalmic Solution","Alcon","800-862-5266","Cyclogyl, Ophthalmic Solution, 20 mg/1 mL (NDC 0065-0397-15)","Reverified","02/07/2024","Available, We have adequate inventory to support demand","","","","Ophthalmology","Current","","","11/09/2020","","","","","","",""
"Cyclopentolate Hydrochloride Ophthalmic Solution","Alcon","800-862-5266","Cyclogyl, Ophthalmic Solution, 10 mg/1 mL (NDC 61314-396-01)","Reverified","02/07/2024","Available, We have adequate inventory to support demand","","","","Ophthalmology","Current","","","11/09/2020","","","","","","",""
"Cyclopentolate Hydrochloride Ophthalmic Solution","Alcon","800-862-5266","Cyclogyl, Ophthalmic Solution, 10 mg/1 mL (NDC 61314-396-03)","Reverified","02/07/2024","Available, We have adequate inventory to support demand","","","","Ophthalmology","Current","","","11/09/2020","","","","","","",""
"Cyclopentolate Hydrochloride Ophthalmic Solution","Bausch & Lomb Incorporated","800-553-5340","Pentolair, Ophthalmic Solution, 10 mg/1 mL (NDC 24208-735-01)","Reverified","04/01/2024","Unavailable","Resupply expected April 2024; Restock projected Q2 2024","","Shortage of an active ingredient","Ophthalmology","Current","","","11/09/2020","","","","","","",""
"Cyclopentolate Hydrochloride, Phenylephrine Hydrochloride Ophthalmic Solution","Alcon","800-862-5266","Cyclomydril, Ophthalmic Solution, 2 mg/1 mL; 10 mg/1 mL (NDC 0065-0359-02)","Revised","03/12/2024","","","Available","","Ophthalmology","Resolved","03/12/2024","","11/09/2020","","","","","","",""
"Cyclopentolate Hydrochloride, Phenylephrine Hydrochloride Ophthalmic Solution","Alcon","800-862-5266","Cyclomydril, Ophthalmic Solution, 2 mg/1 mL; 10 mg/1 mL (NDC 0065-0359-05)","Revised","03/12/2024","","","Available","","Ophthalmology","Resolved","03/12/2024","","11/09/2020","","","","","","",""
"Cyclosporine Injection","Padagis US LLC","800-328-5113","Injection, 250 mg/5 mL (50 mg/mL) in 5 mL Ampule (NDC 0574-0866-10)","New","09/29/2023","","Discontinuation of the manufacture of the product.","","Discontinuation of the manufacture of the drug","Transplant","To Be Discontinued","","09/29/2023","09/29/2023","","","","","","",""
"Cytarabine Injection","Fresenius Kabi USA, LLC","888-386-1300","Injection, 100 mg/1 mL (NDC 63323-120-20)","Reverified","03/18/2024","Available","Check wholesaler for inventory","","","Oncology; Pediatric","Current","","","09/24/2021","","","","","","",""
"Cytarabine Injection","Hospira, Inc., a Pfizer Company","844-646-4398","Cytarabine, Injection, 20 mg/1 mL (NDC 61703-305-38)","Revised","03/28/2024","Available","","","Delay in shipping of the drug","Oncology; Pediatric","Current","","","09/24/2021","","","","","","",""
"Cytarabine Injection","Hospira, Inc., a Pfizer Company","844-646-4398","Cytarabine, Injection, 100 mg/1 mL (NDC 61703-319-22)","Revised","03/28/2024","Available","","","","Oncology; Pediatric","Current","","","09/24/2021","","","","","","",""
"Cytarabine Injection","Hospira, Inc., a Pfizer Company","844-646-4398","Cytarabine, Injection, 20 mg/1 mL (NDC 61703-304-36)","Revised","03/28/2024","Available","","","","Oncology; Pediatric","Current","","","09/24/2021","","","","","","",""
"Cytarabine Injection","Hospira, Inc., a Pfizer Company","844-646-4398","Cytarabine, Injection, 20 mg/1 mL (NDC 61703-303-46)","Revised","03/28/2024","Available","","","","Oncology; Pediatric","Current","","","09/24/2021","","","","","","",""
"Cytarabine Injection","Meitheal Pharmaceuticals, Inc.","844-824-8426","Injection, 2 g/20 mL (NDC 71288-109-20)","Reverified","03/20/2024","Available","","","","Oncology; Pediatric","Current","","","09/24/2021","","","","","","",""
"Dacarbazine Injection","Fresenius Kabi USA, LLC","888-386-1300","Injection, 10 mg/1 mL (NDC 63323-127-10)","Revised","03/20/2024","Unavailable","Backordered. Next release March 2024; Check wholesaler inventory","","Demand increase for the drug","Oncology","Current","","","10/20/2021","","","","","","",""
"Dacarbazine Injection","Fresenius Kabi USA, LLC","888-386-1300","Injection, 10 mg/1 mL (NDC 63323-128-20)","Revised","03/20/2024","Unavailable","Backordered.  Next release April 2024; Check wholesaler inventory","","Demand increase for the drug","Oncology","Current","","","10/20/2021","","","","","","",""
"Dacarbazine Injection","Hikma Pharmaceuticals USA, Inc.","800-631-2174","Dacarbazine for Injection, USP, Injection, 200 mg per Vial (NDC 0143-9245-10)","Reverified","03/28/2024","Unavailable","Additional lots will be available in the March - April 2024 timeframe. Product will be made available as it is released.","","Demand increase for the drug","Oncology","Current","","","10/20/2021","","","","","","",""
"Dactinomycin Injection","Recordati Rare Diseases Inc.","866-209-7604 ","Cosmegen, Injection, .5 mg/1 mL (NDC 55292-811-55)","New","10/16/2023","","","","","Oncology","To Be Discontinued","","10/16/2023","10/16/2023","","","","","","",""
"Dactinomycin Injection","Recordati Rare Diseases Inc.","866-209-7604 ","Injection, .5 mg/1 mL (NDC 66993-489-35)","New","10/16/2023","","Authorized generic distributed by Prasco Laboratories","","Discontinuation of the manufacture of the drug","Oncology","To Be Discontinued","","10/16/2023","10/16/2023","","","","","","",""
"Dactinomycin Injection","Recordati Rare Diseases Inc.","866-209-7604","Injection, .5 mg/1 mL (NDC 66993-489-83)","New","10/16/2023","","Authorized generic distributed by Prasco Laboratories","","Discontinuation of the manufacture of the drug","Oncology","To Be Discontinued","","10/16/2023","10/16/2023","","","","","","",""
"Desmopressin Acetate Spray","Ferring","888-337-7464","Desmopressin Acetate, Spray, 10 ug/.1 mL (NDC 69918-501-05)","Reverified","03/15/2024","Unavailable","","","Demand increase for the drug","Hematology","Current","","","03/12/2021","","","","","","",""
"Desmopressin Acetate Spray","Ferring","888-337-7464","Ddavp, Spray, .1 ug/1 mL (NDC 55566-2500-0)","Reverified","03/15/2024","Unavailable","","","Demand increase for the drug","Hematology","Current","","","03/12/2021","","","","","","",""
"Desmopressin Acetate Spray","Apotex Corp.","800-706-5575","Desmopressin Acetate (needs No Refrigeration), Spray, 10 ug (NDC 60505-0815-0)","Reverified","03/06/2024","Available","","","","Hematology","Current","","","03/12/2021","","","","","","",""
"Desmopressin Acetate Spray","Ferring","888-337-7464","Stimate, Spray, 1.5 mg/1 mL (NDC 0053-6871-00)","Reverified","03/15/2024","Unavailable","","","Demand increase for the drug","Hematology","Current","","","03/12/2021","","","","","","",""
"Desvenlafaxine Succinate Tablet, Extended Release","Pfizer Inc.","800-533-4535","Pristiq, Tablet, Extended Release, 100 mg (NDC 59762-1222-3)","New","06/20/2023","","Discontinuation of the manufacture of the drug; Supply expected to exhaust late July 2023","","","Psychiatry","To Be Discontinued","06/20/2023","06/20/2023","06/20/2023","","","","","","",""
"Desvenlafaxine Succinate Tablet, Extended Release","Pfizer Inc.","800-533-4535","Pristiq, Tablet, Extended Release, 50 mg (NDC 59762-1211-3)","New","06/20/2023","","Discontinuation of the manufacture of the drug","","","Psychiatry","To Be Discontinued","06/20/2023","06/20/2023","06/20/2023","","","","","","",""
"Desvenlafaxine Succinate Tablet, Extended Release","Pfizer Inc.","800-533-4535","Pristiq, Tablet, Extended Release, 25 mg (NDC 59762-1210-3)","New","09/11/2023","","Discontinuation of the manufacture of the drug; Supply expected to exhaust November 2023","","","Psychiatry","To Be Discontinued","09/11/2023","09/11/2023","09/11/2023","","","","","","",""
"Dexamethasone Sodium Phosphate Injection","Eugia US LLC","888-238-7880","Injection, 10 mg/1 mL (NDC 55150-304-25)","Revised","03/22/2024","Unavailable","On backorder. Recovery: TBD. Check wholesalers for inventory","","Demand increase for the drug","Dermatology; Endocrinology/Metabolism; Gastroenterology; Hematology; Neurology; Oncology; Ophthalmology; Other; Pulmonary/Allergy; Rheumatology","Current","","","02/08/2019","","","","","","",""
"Dexamethasone Sodium Phosphate Injection","Eugia US LLC","888-238-7880","Injection, 100 mg/10 mL (NDC 55150-305-10)","Revised","03/22/2024","Available","Intermittent availability expected","","Demand increase for the drug","Dermatology; Endocrinology/Metabolism; Gastroenterology; Hematology; Neurology; Oncology; Ophthalmology; Other; Pulmonary/Allergy; Rheumatology","Current","","","02/08/2019","","","","","","",""
"Dexamethasone Sodium Phosphate Injection","Fresenius Kabi USA, LLC","888-386-1300","Injection, 4 mg/1 mL (NDC 76045-106-10)","Reverified","03/18/2024","Available","Check wholesalers for inventory.","","","Dermatology; Endocrinology/Metabolism; Gastroenterology; Hematology; Neurology; Oncology; Ophthalmology; Other; Pulmonary/Allergy; Rheumatology","Current","","","02/08/2019","","","","","","",""
"Dexamethasone Sodium Phosphate Injection","Fresenius Kabi USA, LLC","888-386-1300","Injection, 10 mg/1 mL (NDC 76045-109-10)","Reverified","03/18/2024","Available","Check wholesalers for inventory.","","","Dermatology; Endocrinology/Metabolism; Gastroenterology; Hematology; Neurology; Oncology; Ophthalmology; Other; Pulmonary/Allergy; Rheumatology","Current","","","02/08/2019","","","","","","",""
"Dexamethasone Sodium Phosphate Injection","Mylan Institutional, a Viatris Company","800-796-9526","Injection, 4 mg/1 mL (NDC 67457-423-12)","Reverified","03/20/2024","Available","","","","Dermatology; Endocrinology/Metabolism; Gastroenterology; Hematology; Neurology; Oncology; Ophthalmology; Other; Pulmonary/Allergy; Rheumatology","Current","","","02/08/2019","","","","","","",""
"Dexamethasone Sodium Phosphate Injection","Mylan Institutional, a Viatris Company","800-796-9526","Injection, 4 mg/1 mL (NDC 67457-422-54)","Reverified","03/20/2024","Available","","","","Dermatology; Endocrinology/Metabolism; Gastroenterology; Hematology; Neurology; Oncology; Ophthalmology; Other; Pulmonary/Allergy; Rheumatology","Current","","","02/08/2019","","","","","","",""
"Dexamethasone Sodium Phosphate Injection","Mylan Institutional, a Viatris Company","800-796-9526","Injection, 4 mg/1 mL (NDC 67457-421-30)","Reverified","03/20/2024","Available","","","","Dermatology; Endocrinology/Metabolism; Gastroenterology; Hematology; Neurology; Oncology; Ophthalmology; Other; Pulmonary/Allergy; Rheumatology","Current","","","02/08/2019","","","","","","",""
"Dexamethasone Sodium Phosphate Injection","Mylan Institutional, a Viatris Company","800-796-9526","Injection, 10 mg/1 mL (NDC 67457-420-10)","Reverified","03/20/2024","Available","","","","Dermatology; Endocrinology/Metabolism; Gastroenterology; Hematology; Neurology; Oncology; Ophthalmology; Other; Pulmonary/Allergy; Rheumatology","Current","","","02/08/2019","","","","","","",""
"Dexamethasone Sodium Phosphate Injection","Eugia US LLC","888-238-7880","Injection, 4 mg/1 mL (NDC 55150-237-01)","Reverified","03/21/2024","Unavailable","Check wholesalers for inventory","","Demand increase for the drug","Dermatology; Endocrinology/Metabolism; Gastroenterology; Hematology; Neurology; Oncology; Ophthalmology; Other; Pulmonary/Allergy; Rheumatology","Current","","","02/08/2019","","","","","","",""
"Dexamethasone Sodium Phosphate Injection","Eugia US LLC","888-238-7880","Injection, 4 mg/1 mL (NDC 55150-238-05)","Reverified","03/21/2024","Unavailable","Check wholesalers for inventory","","Demand increase for the drug","Dermatology; Endocrinology/Metabolism; Gastroenterology; Hematology; Neurology; Oncology; Ophthalmology; Other; Pulmonary/Allergy; Rheumatology","Current","","","02/08/2019","","","","","","",""
"Dexamethasone Sodium Phosphate Injection","Eugia US LLC","888-238-7880","Injection, 4 mg/1 mL (NDC 55150-239-30)","Revised","03/22/2024","Unavailable","Currently on backorder; Next shipment April 2024. Check wholesalers for inventory","","Demand increase for the drug","Dermatology; Endocrinology/Metabolism; Gastroenterology; Hematology; Neurology; Oncology; Ophthalmology; Other; Pulmonary/Allergy; Rheumatology","Current","","","02/08/2019","","","","","","",""
"Dexamethasone Sodium Phosphate Injection","Somerset Therapeutics, LLC","732-554-1019","Dexamethasone Sodium Phosphate Preservative Free, Injection, 10 mg/1 mL (NDC 70069-021-25)","Revised","04/01/2024","Available","","","","Dermatology; Endocrinology/Metabolism; Gastroenterology; Hematology; Neurology; Oncology; Ophthalmology; Other; Pulmonary/Allergy; Rheumatology","Current","","","02/08/2019","","","","","","",""
"Dexamethasone Sodium Phosphate Injection","Fresenius Kabi USA, LLC","888-386-1300","Injection, 4 mg/1 mL (NDC 63323-165-05)","Reverified","03/18/2024","Available","Check wholesalers for inventory.","","","Dermatology; Endocrinology/Metabolism; Gastroenterology; Hematology; Neurology; Oncology; Ophthalmology; Other; Pulmonary/Allergy; Rheumatology","Current","","","02/08/2019","","","","","","",""
"Dexamethasone Sodium Phosphate Injection","Fresenius Kabi USA, LLC","888-386-1300","Injection, 10 mg/1 mL (NDC 63323-516-10)","Reverified","03/18/2024","Available","Check wholesalers for inventory.","","","Dermatology; Endocrinology/Metabolism; Gastroenterology; Hematology; Neurology; Oncology; Ophthalmology; Other; Pulmonary/Allergy; Rheumatology","Current","","","02/08/2019","","","","","","",""
"Dexamethasone Sodium Phosphate Injection","Fresenius Kabi USA, LLC","888-386-1300","Injection, 4 mg/1 mL (NDC 63323-165-30)","Reverified","03/18/2024","Available","Check wholesalers for inventory.","","","Dermatology; Endocrinology/Metabolism; Gastroenterology; Hematology; Neurology; Oncology; Ophthalmology; Other; Pulmonary/Allergy; Rheumatology","Current","","","02/08/2019","","","","","","",""
"Dexamethasone Sodium Phosphate Injection","Fresenius Kabi USA, LLC","888-386-1300","Injection, 4 mg/1 mL (NDC 63323-165-01)","Reverified","03/18/2024","Available","Check wholesalers for inventory.","","","Dermatology; Endocrinology/Metabolism; Gastroenterology; Hematology; Neurology; Oncology; Ophthalmology; Other; Pulmonary/Allergy; Rheumatology","Current","","","02/08/2019","","","","","","",""
"Dexamethasone Sodium Phosphate Injection","Fresenius Kabi USA, LLC","888-386-1300","Dexamethasone Sodium Phosphate Preservative Free, Injection, 10 mg/1 mL (NDC 63323-506-01)","Reverified","03/18/2024","Available","Check wholesalers for inventory.","","","Dermatology; Endocrinology/Metabolism; Gastroenterology; Hematology; Neurology; Oncology; Ophthalmology; Other; Pulmonary/Allergy; Rheumatology","Current","","","02/08/2019","","","","","","",""
"Dexamethasone Sodium Phosphate Injection","Hikma Pharmaceuticals USA, Inc.","800-631-2174","Dexamethasone Sodium Phosphate Injection, USP, Injection, 4 mg/1 mL (NDC 0641-6145-25)","Reverified","03/28/2024","Available","Currently available.  Additional product will be made available as it is released.","","","Dermatology; Endocrinology/Metabolism; Gastroenterology; Hematology; Neurology; Oncology; Ophthalmology; Other; Pulmonary/Allergy; Rheumatology","Current","","","02/08/2019","","","","","","",""
"Dexamethasone Sodium Phosphate Injection","Hikma Pharmaceuticals USA, Inc.","800-631-2174","Dexamethasone Sodium Phosphate Injection, USP, Injection, 4 mg/1 mL (NDC 0641-6146-25)","Reverified","03/28/2024","Available","Currently available.  Additional product will be made available as it is released.","","","Dermatology; Endocrinology/Metabolism; Gastroenterology; Hematology; Neurology; Oncology; Ophthalmology; Other; Pulmonary/Allergy; Rheumatology","Current","","","02/08/2019","","","","","","",""
"Dexamethasone Sodium Phosphate Injection","Hikma Pharmaceuticals USA, Inc.","800-631-2174","Dexamethasone Sodium Phosphate Injection, USP, Injection, 10 mg/1 mL (NDC 0641-0367-25)","Reverified","03/28/2024","Available","Additional lots will be scheduled for manufacturing.  Product will be made available as it is released.","","","Dermatology; Endocrinology/Metabolism; Gastroenterology; Hematology; Neurology; Oncology; Ophthalmology; Other; Pulmonary/Allergy; Rheumatology","Current","","","02/08/2019","","","","","","",""
"Dexamethasone, Tobramycin Suspension/ Drops","Novartis Pharmaceuticals Corporation","888-669-6682","Tobradex, Suspension/ Drops, 1 mg/1 mL; 3 mg/1 mL (NDC 0078-0953-40)","New","06/26/2023","","Novartis Pharmaceuticals has made a business decision to permanently discontinue TOBRADEXÂ® (tobramycin and dexamethasone ophthalmic suspension) Sterile suspension. Discontinuation of the product is not due to manufacturing, product quality, safety, or efficacy concerns.  Product will be available until approximately September 2023.  The authorized generic, 2.5 mL NDC 61314-647-25, 5 mL NDC 61314-647-05 and 10 mL NDC 61314-647-10 will continue to be manufactured and available, distributed by Sandoz.  Other generic equivalents are also available.","","","Ophthalmology","To Be Discontinued","06/26/2023","06/26/2023","06/26/2023","","","","","","",""
"Dexamethasone, Tobramycin Suspension/ Drops","Novartis Pharmaceuticals Corporation","888-669-6682","Tobradex, Suspension/ Drops, 1 mg/1 mL; 3 mg/1 mL (NDC 0078-0953-25)","New","06/26/2023","","Novartis Pharmaceuticals has made a business decision to permanently discontinue TOBRADEXÂ® (tobramycin and dexamethasone ophthalmic suspension) Sterile suspension. Discontinuation of the product is not due to manufacturing, product quality, safety, or efficacy concerns.  Product will be available until approximately September 2023.  The authorized generic, 2.5 mL NDC 61314-647-25, 5 mL NDC 61314-647-05 and 10 mL NDC 61314-647-10 will continue to be manufactured and available, distributed by Sandoz.  Other generic equivalents are also available.","","","Ophthalmology","To Be Discontinued","06/26/2023","06/26/2023","06/26/2023","","","","","","",""
"Dexamethasone, Tobramycin Suspension/ Drops","Novartis Pharmaceuticals Corporation","888-669-6682","Tobradex, Suspension/ Drops, 1 mg/1 mL; 3 mg/1 mL (NDC 0078-0953-26)","New","06/26/2023","","Novartis Pharmaceuticals has made a business decision to permanently discontinue TOBRADEXÂ® (tobramycin and dexamethasone ophthalmic suspension) Sterile suspension. Discontinuation of the product is not due to manufacturing, product quality, safety, or efficacy concerns.  Product will be available until approximately September 2023.  The authorized generic, 2.5 mL NDC 61314-647-25, 5 mL NDC 61314-647-05 and 10 mL NDC 61314-647-10 will continue to be manufactured and available, distributed by Sandoz.  Other generic equivalents are also available.","","","Ophthalmology","To Be Discontinued","06/26/2023","06/26/2023","06/26/2023","","","","","","",""
"Dexmedetomidine Hydrochloride Injection","Amneal Pharmaceuticals","877-835-5472","Injection, 4 mcg/mL, 50 mL (NDC 70121-1388-1)","Reverified","02/09/2024","Available","","","","Anesthesia","Current","","","04/10/2020","","","","","","",""
"Dexmedetomidine Hydrochloride Injection","Amneal Pharmaceuticals","866-525-7270","Injection, 4 mcg/mL, 100 mL (NDC 70121-1389-1)","Reverified","02/09/2024","Available","","","","Anesthesia","Current","","","04/10/2020","","","","","","",""
"Dexmedetomidine Hydrochloride Injection","Gland Pharma Limited","855-273-0154","Injection, 200 ug/2 mL (NDC 66794-230-42)","New","03/15/2024","Available","Marketed by Piramal Critical Care Inc.: 800-414-1901","","","Anesthesia","Current","","","04/10/2020","","","","","","",""
"Dexmedetomidine Hydrochloride Injection","Hikma Pharmaceuticals USA, Inc.","800-631-2174","Dexmedetomidine Hydrochloride, Injection, 100 ug/1 mL (NDC 0143-9532-25)","Reverified","03/28/2024","Available","Additional lots will be scheduled for manufacturing.  Product will be made available as it is released.","","","Anesthesia","Current","","","04/10/2020","","","","","","",""
"Dexmedetomidine Hydrochloride Injection","Par Pharmaceutical, Inc.","800-828-9393","Injection, 4 ug/1 mL (NDC 42023-186-20)","Reverified","04/02/2024","Available","Please check wholesalers for inventory","","","Anesthesia","Current","","","04/10/2020","","","","","","",""
"Dexmedetomidine Hydrochloride Injection","Par Pharmaceutical, Inc.","800-828-9393","Injection, 4 ug/1 mL (NDC 42023-187-10)","Reverified","04/02/2024","Available","Please check wholesalers for inventory","","","Anesthesia","Current","","","04/10/2020","","","","","","",""
"Dexmedetomidine Hydrochloride Injection","Mylan Institutional, a Viatris Company","800-796-9526","Dexmedetomidine Hydrochloride, Injection, 200 ug/50 mL (NDC 67457-924-50)","Reverified","03/20/2024","Available","","","","Anesthesia","Current","","","04/10/2020","","","","","","",""
"Dexmedetomidine Hydrochloride Injection","Mylan Institutional, a Viatris Company","800-796-9526","Dexmedetomidine Hydrochloride, Injection, 400 ug/100 mL (NDC 67457-925-10)","Reverified","03/20/2024","Available","","","","Anesthesia","Current","","","04/10/2020","","","","","","",""
"Dexmedetomidine Hydrochloride Injection","Eugia US LLC","888-238-7880","Dexmedetomidine Hydrochloride, Injection, 4 ug/1 mL (NDC 55150-296-10)","Reverified","03/21/2024","Available","Check wholesalers for inventory","","","Anesthesia","Current","","","04/10/2020","","","","","","",""
"Dexmedetomidine Hydrochloride Injection","Eugia US LLC","888-238-7880","Dexmedetomidine Hydrochloride, Injection, 4 ug/1 mL (NDC 55150-297-10)","Reverified","03/21/2024","Available","Check wholesalers for inventory","","","Anesthesia","Current","","","04/10/2020","","","","","","",""
"Dexmedetomidine Hydrochloride Injection","Amneal Pharmaceuticals","866-525-7270","Injection, 4 ug/1 mL (NDC 70121-1388-8)","Revised","02/09/2024","Available","No Possibility of Shortage. Sufficient Inventory are available(20 to 24 wk)","","","Anesthesia","Current","","","04/10/2020","","","","","","",""
"Dexmedetomidine Hydrochloride Injection","Amneal Pharmaceuticals","866-525-7270","Injection, 4 ug/1 mL (NDC 70121-1389-7)","Revised","02/09/2024","Available","No Possibility of Shortage. Sufficient Inventory are available(20 to 24 wk)","","","Anesthesia","Current","","","04/10/2020","","","","","","",""
"Dexmedetomidine Hydrochloride Injection","Accord Healthcare Inc.","866-941-7875, option 2","Injection, 100 ug/1 mL (NDC 16729-239-93)","Reverified","03/05/2024","Limited Availability","Inventory on hold pending further assessment","","Requirements related to complying with good manufacturing practices","Anesthesia","Current","","","04/10/2020","","","","","","",""
"Dexmedetomidine Hydrochloride Injection","Accord Healthcare Inc.","866-941-7875, option 2","Injection, 100 ug/1 mL (NDC 16729-432-93)","Reverified","03/05/2024","Unavailable","Discontinuation of the manufacture of the drug","","Discontinuation of the manufacture of the drug","Anesthesia","Current","","","04/10/2020","","","","","","",""
"Dexmedetomidine Hydrochloride Injection","Eugia US LLC","888-238-7880","Dexmedetomidine Hydrochloride, Injection, 100 ug/1 mL (NDC 55150-209-02)","Reverified","01/24/2024","Currently on backorder - next shipment TBD","Check wholesalers for inventory","","Demand increase for the drug","Anesthesia","Current","","","04/10/2020","","","","","","",""
"Dexmedetomidine Hydrochloride Injection","Baxter Healthcare","888-229-0001","Dexmedetomidine Hydrochloride, Injection, 200 ug/50 mL (NDC 0338-9555-24)","Reverified","03/18/2024","Available","","","","Anesthesia","Current","","","04/10/2020","","","","","","",""
"Dexmedetomidine Hydrochloride Injection","Baxter Healthcare","888-229-0001","Dexmedetomidine Hydrochloride, Injection, 400 ug/100 mL (NDC 0338-9557-12)","Reverified","03/18/2024","Available","","","","Anesthesia","Current","","","04/10/2020","","","","","","",""
"Dexmedetomidine Hydrochloride Injection","Baxter Healthcare","888-229-0001","Dexmedetomidine Hydrochloride, Injection, 200 ug/50 mL (NDC 43066-555-24)","Reverified","03/18/2024","Available","","","","Anesthesia","Current","","","04/10/2020","","","","","","",""
"Dexmedetomidine Hydrochloride Injection","Baxter Healthcare","888-229-0001","Dexmedetomidine Hydrochloride, Injection, 400 ug/100 mL (NDC 43066-557-12)","Reverified","03/18/2024","Available","","","","Anesthesia","Current","","","04/10/2020","","","","","","",""
"Dexmedetomidine Hydrochloride Injection","Fresenius Kabi USA, LLC","888-386-1300","Injection, 4 ug/1 mL (NDC 63323-671-20)","Reverified","03/18/2024","Unavailable","Next release not available at this time.","","Demand increase for the drug","Anesthesia","Current","","","04/10/2020","","","","","","",""
